
[Wed Jan 04 18:46:28.763 2017] Begin Peak Summation Update test @ 8000 KHz
[Wed Jan 04 18:46:30.935 2017] ,START,EOL
[Wed Jan 04 18:46:30.951 2017] ,COMMENT,Peak Summation
[Wed Jan 04 18:46:30.967 2017] ,COMMENT,TX BIAS DELAY HAS BEEN REMOVED
[Wed Jan 04 18:46:31.014 2017] ,INFO,BOARD_ID,NA,SOIL_TYPE,NA,START_FREQ,8000,STOP_FREQ,12000,FREQ_INC,100,DELAY_TIME,100,NUM_SEQ_MEASURES,10,FIRMWARE_VERSION,0.1.8,TX_COIL,1,RX_COIL,1
[Wed Jan 04 18:46:31.170 2017] ,ACTION,SOIL TYPE,WATER CONTENT (%),tx_freq_actual (KHz),ADC Value (mV),TEMPERATURE (degC)
[Wed Jan 04 18:48:00.502 2017] ,DISCHARGE,NA,NA,9800.00,2,23
[Wed Jan 04 18:48:03.393 2017] ,CHARGING,NA,NA,9900.00,2,23
[Wed Jan 04 18:48:03.518 2017] ,CHARGING,NA,NA,9900.00,2,23
[Wed Jan 04 18:48:03.768 2017] ,MEASURE,NA,NA,9900.00,2,23
[Wed Jan 04 18:48:04.002 2017] ,MEASURE,NA,NA,9900.00,2,23
[Wed Jan 04 18:48:04.237 2017] ,MEASURE,NA,NA,9900.00,2,23
[Wed Jan 04 18:48:04.471 2017] ,MEASURE,NA,NA,9900.00,2,23
[Wed Jan 04 18:48:04.706 2017] ,MEASURE,NA,NA,9900.00,2,23
[Wed Jan 04 18:48:04.737 2017] ,RECORD,NA,NA,9900.00,2,23
[Wed Jan 04 18:48:04.768 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 9900.00,running_sum = 45 (12bit),running_sum = 44 (mV), temp = 23
[Wed Jan 04 18:48:05.190 2017] ,DISCHARGE,NA,NA,9900.00,2,23
[Wed Jan 04 18:48:08.081 2017] ,CHARGING,NA,NA,10000.00,2,23
[Wed Jan 04 18:48:08.206 2017] ,CHARGING,NA,NA,10000.00,2,23
[Wed Jan 04 18:48:08.440 2017] ,MEASURE,NA,NA,10000.00,2,23
[Wed Jan 04 18:48:08.690 2017] ,MEASURE,NA,NA,10000.00,2,23
[Wed Jan 04 18:48:08.925 2017] ,MEASURE,NA,NA,10000.00,2,23
[Wed Jan 04 18:48:09.159 2017] ,MEASURE,NA,NA,10000.00,2,23
[Wed Jan 04 18:48:09.393 2017] ,MEASURE,NA,NA,10000.00,2,23
[Wed Jan 04 18:48:09.425 2017] ,RECORD,NA,NA,10000.00,2,23
[Wed Jan 04 18:48:09.456 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 10000.00,running_sum = 47 (12bit),running_sum = 46 (mV), temp = 23
[Wed Jan 04 18:48:09.878 2017] ,DISCHARGE,NA,NA,10000.00,2,23
[Wed Jan 04 18:48:12.753 2017] ,CHARGING,NA,NA,10100.00,2,23
[Wed Jan 04 18:48:12.909 2017] ,CHARGING,NA,NA,10100.00,2,23
[Wed Jan 04 18:48:13.144 2017] ,MEASURE,NA,NA,10100.00,2,23
[Wed Jan 04 18:48:13.378 2017] ,MEASURE,NA,NA,10100.00,2,23
[Wed Jan 04 18:48:13.612 2017] ,MEASURE,NA,NA,10100.00,2,23
[Wed Jan 04 18:48:13.847 2017] ,MEASURE,NA,NA,10100.00,2,23
[Wed Jan 04 18:48:14.081 2017] ,MEASURE,NA,NA,10100.00,2,23
[Wed Jan 04 18:48:14.128 2017] ,RECORD,NA,NA,10100.00,2,23
[Wed Jan 04 18:48:14.159 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 10100.00,running_sum = 49 (12bit),running_sum = 48 (mV), temp = 23
[Wed Jan 04 18:48:14.566 2017] ,DISCHARGE,NA,NA,10100.00,2,23
[Wed Jan 04 18:48:17.456 2017] ,CHARGING,NA,NA,10200.00,2,23
[Wed Jan 04 18:48:17.597 2017] ,CHARGING,NA,NA,10200.00,2,23
[Wed Jan 04 18:48:17.831 2017] ,MEASURE,NA,NA,10200.00,2,23
[Wed Jan 04 18:48:18.066 2017] ,MEASURE,NA,NA,10200.00,2,23
[Wed Jan 04 18:48:18.300 2017] ,MEASURE,NA,NA,10200.00,2,23
[Wed Jan 04 18:48:18.550 2017] ,MEASURE,NA,NA,10200.00,2,23
[Wed Jan 04 18:48:18.784 2017] ,MEASURE,NA,NA,10200.00,2,23
[Wed Jan 04 18:48:18.816 2017] ,RECORD,NA,NA,10200.00,2,23
[Wed Jan 04 18:48:18.847 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 10200.00,running_sum = 51 (12bit),running_sum = 50 (mV), temp = 23
[Wed Jan 04 18:48:19.269 2017] ,DISCHARGE,NA,NA,10200.00,2,23
[Wed Jan 04 18:48:22.160 2017] ,CHARGING,NA,NA,10300.00,2,23
[Wed Jan 04 18:48:22.285 2017] ,CHARGING,NA,NA,10300.00,2,23
[Wed Jan 04 18:48:22.519 2017] ,MEASURE,NA,NA,10300.00,2,23
[Wed Jan 04 18:48:22.769 2017] ,MEASURE,NA,NA,10300.00,2,23
[Wed Jan 04 18:48:23.003 2017] ,MEASURE,NA,NA,10300.00,2,23
[Wed Jan 04 18:48:23.222 2017] ,MEASURE,NA,NA,10300.00,2,23
[Wed Jan 04 18:48:23.472 2017] ,MEASURE,NA,NA,10300.00,2,23
[Wed Jan 04 18:48:23.503 2017] ,RECORD,NA,NA,10300.00,2,23
[Wed Jan 04 18:48:23.535 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 10300.00,running_sum = 53 (12bit),running_sum = 52 (mV), temp = 23
[Wed Jan 04 18:48:23.957 2017] ,DISCHARGE,NA,NA,10300.00,2,23
[Wed Jan 04 18:48:26.847 2017] ,CHARGING,NA,NA,10400.00,2,23
[Wed Jan 04 18:48:26.988 2017] ,CHARGING,NA,NA,10400.00,2,23
[Wed Jan 04 18:48:27.222 2017] ,MEASURE,NA,NA,10400.00,2,23
[Wed Jan 04 18:48:27.441 2017] ,MEASURE,NA,NA,10400.00,2,23
[Wed Jan 04 18:48:27.691 2017] ,MEASURE,NA,NA,10400.00,2,23
[Wed Jan 04 18:48:27.926 2017] ,MEASURE,NA,NA,10400.00,2,23
[Wed Jan 04 18:48:28.160 2017] ,MEASURE,NA,NA,10400.00,2,23
[Wed Jan 04 18:48:28.207 2017] ,RECORD,NA,NA,10400.00,2,23
[Wed Jan 04 18:48:28.238 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 10400.00,running_sum = 55 (12bit),running_sum = 54 (mV), temp = 23
[Wed Jan 04 18:48:28.644 2017] ,DISCHARGE,NA,NA,10400.00,2,23
